NAME                     TYPE      BREED                              SEX                 IN AGE    CURR AGE  
*Elsa                    Cat       Snowshoe Mix                       Spayed Female       1.00      2.00      
*Cosmo                   Cat       Domestic Shorthair                 Neutered Male       1.00      2.00      
*Aster                   Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Olive                    Cat       Domestic Shorthair Mix             Spayed Female       1.00      2.00      
A873477                  Cat       Siamese                            Neutered Male       2.00      3.00      
Daisy                    Cat       Domestic Shorthair                 Spayed Female       1.00      2.00      
Sky                      Cat       Domestic Shorthair                 Spayed Female       3.00      4.00      
*Melbourne               Dog       Australian Shepherd Mix            Neutered Male       1.00      2.00      
*Lady Bird               Dog       Blue Lacy Mix                      Spayed Female       5.00      6.00      
Skye                     Dog       Labrador Retriever                 Spayed Female       1.00      2.00      
Lola                     Dog       American Staffordshire Terrier/MastiffSpayed Female       10.00     11.00     
A871593                  Dog       Labrador Retriever Mix             Neutered Male       1.00      2.00      
Finn                     Dog       Pit Bull                           Neutered Male       1.00      2.00      
A871602                  Dog       German Shepherd                    Neutered Male       1.00      2.00      
Chocoa                   Dog       Labrador Retriever/Australian Cattle DogSpayed Female       1.00      2.00      
Ollie                    Dog       Labrador Retriever/Australian Cattle DogNeutered Male       1.00      2.00      
A871598                  Dog       Miniature Schnauzer Mix            Neutered Male       1.00      2.00      
*Portabella              Dog       Pit Bull                           Spayed Female       3.00      4.00      
Bocephus                 Dog       Dogo Argentino Mix                 Neutered Male       2.00      3.00      
Bonnie                   Dog       German Shepherd Mix                Spayed Female       1.00      2.00      
*Buddy                   Dog       Alaskan Husky/German Shepherd      Neutered Male       2.00      3.00      
Bruno                    Dog       German Shepherd                    Neutered Male       2.00      3.00      
*Rue                     Dog       Belgian Malinois                   Spayed Female       2.00      3.00      
*Sparkle                 Dog       Labrador Retriever/Australian Cattle DogSpayed Female       1.00      2.00      
Anya                     Dog       Siberian Husky Mix                 Spayed Female       3.00      4.00      
Celia                    Dog       Black Mouth Cur Mix                Spayed Female       1.00      2.00      
Hulk                     Dog       Australian Cattle Dog/Siberian HuskyNeutered Male       4.00      5.00      
Sandy                    Dog       English Coonhound Mix              Spayed Female       4.00      5.00      
Lucky                    Dog       Basset Hound                       Neutered Male       4.00      5.00      
*Jolly                   Dog       Labrador Retriever/Australian Cattle DogSpayed Female       1.00      2.00      
A871599                  Dog       Miniature Schnauzer Mix            Neutered Male       1.00      2.00      
Sir Kit                  Dog       German Shepherd Mix                Intact Female       1.00      2.00      
*Brisbane                Dog       Australian Shepherd Mix            Spayed Female       1.00      2.00      
Angel                    Dog       Border Collie Mix                  Spayed Female       1.00      2.00      
*Min                     Dog       Pit Bull/Chinese Sharpei           Spayed Female       2.00      3.00      
*Pickle                  Dog       Australian Cattle Dog              Neutered Male       1.00      2.00      
Apollo                   Dog       Labrador Retriever Mix             Neutered Male       1.00      2.00      
A871430                  Dog       Dachshund Wirehair Mix             Neutered Male       1.00      2.00      
A871429                  Dog       Dachshund Mix                      Spayed Female       1.00      2.00      
A871288                  Dog       Pointer Mix                        Spayed Female       1.00      2.00      
A871600                  Dog       Miniature Schnauzer Mix            Neutered Male       1.00      2.00      
*Spike                   Dog       German Shepherd                    Neutered Male       3.00      4.00      
A871801                  Dog       Jack Russell Terrier/Chihuahua ShorthairNeutered Male       1.00      2.00      
Smokey                   Dog       Dachshund/Chihuahua Shorthair      Neutered Male       1.00      2.00      
A871768                  Dog       Dachshund/Chihuahua Shorthair      Neutered Male       1.00      2.00      
Echo                     Dog       Siberian Husky                     Neutered Male       3.00      4.00      
Sofie                    Dog       Dachshund Mix                      Spayed Female       1.00      2.00      
Smokey                   Dog       Belgian Malinois                   Neutered Male       3.00      4.00      
Nico                     Dog       Pit Bull/German Shepherd           Neutered Male       1.00      2.00      
Tara                     Dog       Labrador Retriever Mix             Spayed Female       1.00      2.00      
*Emma                    Dog       Plott Hound Mix                    Spayed Female       3.00      4.00      
Reya                     Dog       Labrador Retriever Mix             Spayed Female       8.00      9.00      
Panda Bear               Dog       Pit Bull Mix                       Neutered Male       1.00      2.00      
Lobo                     Dog       German Shepherd                    Neutered Male       2.00      3.00      
Benny                    Dog       Labrador Retriever Mix             Neutered Male       1.00      2.00      
*Thyme                   Dog       Australian Cattle Dog/Labrador RetrieverNeutered Male       1.00      2.00      
Bruno                    Dog       Labrador Retriever/Australian Cattle DogNeutered Male       1.00      2.00      
Winter                   Dog       Labrador Retriever Mix             Spayed Female       1.00      2.00      
Draco                    Dog       Labrador Retriever Mix             Neutered Male       1.00      2.00      
A871877                  Dog       Labrador Retriever                 Neutered Male       1.00      2.00      
Addie                    Dog       Labrador Retriever Mix             Spayed Female       1.00      2.00      
*Prince                  Dog       Feist Mix                          Neutered Male       1.00      2.00      
Rain Lily                Dog       Border Collie                      Spayed Female       2.00      3.00      
*Delia                   Dog       Pit Bull Mix                       Spayed Female       1.00      2.00      
*Draper                  Dog       Australian Cattle Dog Mix          Neutered Male       1.00      2.00      
*Doni                    Dog       Dachshund/Labrador Retriever       Neutered Male       3.00      4.00      
Luna                     Dog       Siberian Husky                     Spayed Female       3.00      4.00      
Rico Suave               Dog       American Bulldog Mix               Neutered Male       7.00      8.00      
Chance                   Dog       Australian Shepherd Mix            Intact Male         1.00      2.00      
A871605                  Dog       Australian Shepherd Mix            Spayed Female       1.00      2.00      
*Jan                     Dog       Flat Coat Retriever Mix            Spayed Female       2.00      3.00      
*Wilma                   Dog       German Shepherd                    Spayed Female       7.00      8.00      
*Pia                     Dog       Pit Bull Mix                       Spayed Female       1.00      2.00      
*Ellie                   Dog       Pit Bull Mix                       Spayed Female       1.00      2.00      
*Bowser                  Dog       German Shepherd                    Neutered Male       2.00      3.00      
Balto                    Dog       Alaskan Malamute Mix               Neutered Male       3.00      4.00      
Mars                     Dog       Labrador Retriever Mix             Spayed Female       1.00      2.00      
Luca                     Dog       Pointer Mix                        Neutered Male       1.00      2.00      
Reign                    Dog       German Shepherd Mix                Spayed Female       2.00      3.00      
Max                      Dog       Great Pyrenees Mix                 Neutered Male       2.00      3.00      
*Keanu                   Dog       Labrador Retriever                 Neutered Male       1.00      2.00      
*Triton                  Dog       German Shepherd Mix                Neutered Male       3.00      4.00      
Daisy                    Dog       Labrador Retriever Mix             Spayed Female       1.00      2.00      
*Caspian                 Dog       Siberian Husky/German Shepherd     Neutered Male       1.00      2.00      
*Cher                    Dog       Queensland Heeler/Pit Bull         Spayed Female       4.00      5.00      
*Brownie                 Dog       Pit Bull/Labrador Retriever        Spayed Female       3.00      4.00      
A872070                  Dog       Chihuahua Shorthair Mix            Spayed Female       1.00      2.00      
*Potato                  Dog       Pit Bull                           Spayed Female       2.00      3.00      
*Roxy                    Dog       German Shepherd                    Spayed Female       2.00      3.00      
Bonita                   Dog       Chihuahua Longhair                 Spayed Female       2.00      3.00      
Elvis                    Dog       Doberman Pinsch Mix                Neutered Male       2.00      3.00      
*Phoenix                 Dog       Pointer/Alaskan Husky              Spayed Female       1.00      2.00      
*Maddie                  Dog       Siberian Husky/German Shepherd     Spayed Female       1.00      2.00      
Nino                     Dog       Border Terrier Mix                 Neutered Male       1.00      2.00      
Grim                     Dog       German Shepherd                    Neutered Male       1.00      2.00      
A871992                  Dog       Border Terrier Mix                 Spayed Female       1.00      2.00      
Onyx                     Dog       Chihuahua Shorthair Mix            Neutered Male       1.00      2.00      
*Aspen                   Dog       Labrador Retriever/Great Pyrenees  Spayed Female       2.00      3.00      
*Snow                    Dog       Labrador Retriever                 Spayed Female       1.00      2.00      
Layla                    Dog       Labrador Retriever/Chinese Sharpei Spayed Female       1.00      2.00      
Camilla                  Dog       Pit Bull Mix                       Spayed Female       10.00     11.00     
Nora                     Dog       Doberman Pinsch                    Spayed Female       2.00      3.00      
Lola                     Dog       German Shepherd                    Spayed Female       4.00      5.00      
*Pisces                  Dog       German Shorthair Pointer           Spayed Female       3.00      4.00      
*Tonia                   Dog       Pit Bull Mix                       Spayed Female       4.00      5.00      
Peanut                   Dog       Chihuahua Shorthair Mix            Spayed Female       9.00      10.00     
Dino                     Dog       Labrador Retriever Mix             Neutered Male       2.00      3.00      
A871389                  Dog       Labrador Retriever Mix             Spayed Female       1.00      2.00      
*Slider                  Dog       Anatol Shepherd Mix                Neutered Male       1.00      2.00      
